month,purchase_category_nm,coronaindex
1,ЦВЕТЫ,0.2467807235209612
4,ЦВЕТЫ,0.30605569072722355
7,ЦВЕТЫ,0.5343056272586474
12,ЦВЕТЫ,0.5654247104247104
5,ЦВЕТЫ,0.5764919093851132
6,ЦВЕТЫ,0.5851239669421489
8,ЦВЕТЫ,0.6437926154637849
11,ЦВЕТЫ,0.6529529130087789
2,ЦВЕТЫ,0.6654687499999999
10,ЦВЕТЫ,0.6736235421752103
9,ЦВЕТЫ,0.7085479161136182
3,ЦВЕТЫ,1.0629777892561985
6,DUTY FREE,1.2416115776308738
7,DUTY FREE,1.298066254556982
4,DUTY FREE,1.3179406190777005
8,DUTY FREE,1.4176183431952663
3,DUTY FREE,1.419072327044025
4,СУВЕНИРЫ,1.475257731958763
5,DUTY FREE,1.5230356077183211
12,DUTY FREE,1.5673009161381255
11,DUTY FREE,1.636248761149653
2,DUTY FREE,1.6749832663989292
10,DUTY FREE,1.6823890680178104
9,DUTY FREE,1.7365507031828276
1,DUTY FREE,1.7974996093139555
6,КИНО,1.9266533333333333
7,КИНО,1.9279345445174592
4,ИСКУССТВО,1.9663501483679524
12,АРЕНДА АВТО,1.9750253395499695
6,ИСКУССТВО,2.018537626756805
1,СУВЕНИРЫ,2.0407062221055394
5,СУВЕНИРЫ,2.0706138613861387
5,ИСКУССТВО,2.0770701786036443
12,ТУРАГЕНТСТВА,2.0862188648427926
11,СУВЕНИРЫ,2.093543817041085
11,ТУРАГЕНТСТВА,2.0953419436798644
11,АРЕНДА АВТО,2.1031919361612768
4,КИНО,2.122562192363975
5,КИНО,2.134051057246003
5,АВИАБИЛЕТЫ,2.149851055562751
4,АВИАБИЛЕТЫ,2.1777400054392166
7,ИСКУССТВО,2.1826968174204358
3,СУВЕНИРЫ,2.1884008416622827
8,КИНО,2.2064280215550425
2,ИСКУССТВО,2.210653570079335
3,ИСКУССТВО,2.2227146332985748
2,СУВЕНИРЫ,2.228604151753758
1,ИСКУССТВО,2.2852836879432625
2,АРЕНДА АВТО,2.2869786216175814
1,АРЕНДА АВТО,2.3388230486309767
3,АРЕНДА АВТО,2.356100849400027
12,ИСКУССТВО,2.3703524867213908
11,ИСКУССТВО,2.38570351758794
8,ИСКУССТВО,2.40705674328886
9,ИСКУССТВО,2.4495924356048255
6,СУВЕНИРЫ,2.4748752528658127
10,ИСКУССТВО,2.4943155452436194
4,ОТЕЛИ,2.574526748971193
1,ТУРАГЕНТСТВА,2.581323064227754
9,КИНО,2.5937582475587226
4,"ОДЕЖДА, ОБУВЬ",2.611955526487901
4,КНИГИ,2.708456177968373
5,ОТЕЛИ,2.7534534929614525
6,АВИАБИЛЕТЫ,2.7630082905645477
12,КИНО,2.77081816439931
10,СУВЕНИРЫ,2.800396662563261
11,КИНО,2.805898709036743
5,КНИГИ,2.806475006475006
3,ТУРАГЕНТСТВА,2.86673140954495
3,КИНО,2.8670595771941065
2,ТУРАГЕНТСТВА,2.875887683850839
4,СПОРТТОВАРЫ,2.8874142799515936
10,КИНО,2.935571736785329
4,АРЕНДА АВТО,2.9789558586302975
4,ТУРАГЕНТСТВА,3.0068441660140954
10,АВИАБИЛЕТЫ,3.0166375721767156
