,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
726153,06-09-2021,Республика Бурятия,АРЕНДА АВТО,50.0,428.0,248.56,314.0,7.6,6,9,2021
804621,10-09-2021,Республика Бурятия,КНИГИ,4.0,163.0,643.98,576.0,10.0,10,9,2021
814786,27-09-2021,Республика Бурятия,АРЕНДА АВТО,16.67,209.0,606.64,460.0,4.1,27,9,2021
832020,24-09-2021,Республика Бурятия,КИНО,22.22,1531.0,139.51,175.0,4.1,24,9,2021
858161,04-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,52.38,230.0,193.91,211.0,10.0,4,9,2021
863399,06-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,50.86,76.0,68.07,72.0,2.8,6,9,2021
873177,14-09-2021,Республика Бурятия,ФОТО/ВИДЕО,66.67,287.0,300.8,291.0,10.0,14,9,2021
893756,12-09-2021,Республика Бурятия,DUTY FREE,0.0,,63.41,63.0,0.8,12,9,2021
913780,09-09-2021,Республика Бурятия,КРАСОТА,11.11,72.0,232.81,187.0,10.0,9,9,2021
922389,05-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,105.57,54.0,3.8,5,9,2021
929441,12-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,229.08,229.0,9.1,12,9,2021
976028,03-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,186.56,177.0,5.3,3,9,2021
1148215,08-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,40.0,62.0,232.07,111.0,6.8,8,9,2021
1195886,26-09-2021,Республика Бурятия,СПОРТТОВАРЫ,1.3,162.0,342.16,337.0,6.5,26,9,2021
1205055,14-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.79,154.0,169.64,170.0,9.1,14,9,2021
1207478,07-09-2021,Республика Бурятия,ФАСТФУД,4.35,1966.0,316.33,328.0,10.0,7,9,2021
1217554,07-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,61.54,249.0,387.47,289.0,8.7,7,9,2021
1223216,10-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,324.15,324.0,9.6,10,9,2021
1224937,21-09-2021,Республика Бурятия,КНИГИ,5.88,161.0,423.9,387.0,10.0,21,9,2021
1273105,15-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,17.71,124.0,699.51,384.0,10.0,15,9,2021
1275277,30-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,1627.33,526.0,10.0,30,9,2021
1296524,26-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,44.44,202.0,306.94,249.0,8.4,26,9,2021
1308148,21-09-2021,Республика Бурятия,ОТЕЛИ,53.13,884.0,193.89,331.0,9.3,21,9,2021
1308151,26-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,742.99,240.0,6.6,26,9,2021
1324302,05-09-2021,Республика Бурятия,ТОПЛИВО,0.41,,233.31,234.0,8.3,5,9,2021
1330014,11-09-2021,Республика Бурятия,DUTY FREE,0.0,,634.32,634.0,3.1,11,9,2021
1333029,07-09-2021,Республика Бурятия,МЕД. УСЛУГИ,1.25,905.0,280.46,283.0,10.0,7,9,2021
1335060,23-09-2021,Республика Бурятия,МУЗЫКА,33.33,55.0,103.14,80.0,4.2,23,9,2021
1356405,01-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",8.66,454.0,286.58,296.0,9.1,1,9,2021
1364992,03-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,457.69,148.0,10.0,3,9,2021
1386191,29-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,69.57,115.0,74.97,99.0,7.5,29,9,2021
1395054,01-09-2021,Республика Бурятия,АРЕНДА АВТО,100.0,431.0,0.0,158.0,4.8,1,9,2021
