iter	MultiClass
0	1.034946778
1	0.9859510937
2	0.9445287366
3	0.9115056971
4	0.8844592769
5	0.8617724378
6	0.8404040512
7	0.8220724124
8	0.8081758018
9	0.7952349467
10	0.7839279182
11	0.7735555608
12	0.7647798182
13	0.7570413334
14	0.7498353587
15	0.7428894543
16	0.7376002732
17	0.7332015045
18	0.7291598718
19	0.7249895789
20	0.7221319307
21	0.7189205337
22	0.7167894863
23	0.7138760274
24	0.7109763186
25	0.7087614062
26	0.7069521978
27	0.705248571
28	0.703357174
29	0.7021868838
30	0.7008562877
31	0.6999421573
32	0.6986195242
33	0.6971611241
34	0.6961985641
35	0.6949251953
36	0.6938535684
37	0.6928873566
38	0.6922605484
39	0.6912914066
40	0.6905615211
41	0.6896011706
42	0.6887309528
43	0.6881088529
44	0.6873406023
45	0.6864679014
46	0.6858359507
47	0.6851359358
48	0.6843078079
49	0.683838186
50	0.6830215972
51	0.6824278757
52	0.6818428138
53	0.6812349506
54	0.6807033802
55	0.6802510206
56	0.6794785294
57	0.6791173261
58	0.6786471331
59	0.6781676687
60	0.677785896
61	0.6772121887
62	0.6767513794
63	0.6761929448
64	0.6758690526
65	0.6753866373
66	0.6750111507
67	0.6744003267
68	0.673650824
69	0.6734463552
70	0.6730610361
71	0.6726036625
72	0.6720653354
73	0.6717239087
74	0.671322111
75	0.6708284456
76	0.6705728537
77	0.6701180236
78	0.6697227832
79	0.6694431039
80	0.6690095036
81	0.6687707486
82	0.6685257333
83	0.6681561497
84	0.6676544357
85	0.6672326654
86	0.6670167924
87	0.6666861846
88	0.6660666923
89	0.6656527545
90	0.6653812659
91	0.6651946895
92	0.6648365233
93	0.6644805663
94	0.6640608874
95	0.6638326201
96	0.6636475289
97	0.6634056828
98	0.6631590804
99	0.6627337247
100	0.6622877282
101	0.6619195004
102	0.6615957228
103	0.6613897708
104	0.6610605756
105	0.6608219119
106	0.6605822337
107	0.6603060031
108	0.6601360239
109	0.6598809231
110	0.6596672021
111	0.6593588586
112	0.6591466941
113	0.6589212364
114	0.6587603419
115	0.6585878926
116	0.6583495783
117	0.6580627016
118	0.6577649209
119	0.6575078925
120	0.6572786479
121	0.6571243544
122	0.65685387
123	0.6566736872
124	0.6564316022
125	0.6562124005
126	0.6558321542
127	0.6555332395
128	0.6553905993
129	0.6549734204
130	0.6547155643
131	0.6544172305
132	0.6542592439
133	0.6539413236
134	0.6537291582
135	0.6534615664
136	0.6532373085
137	0.6530984125
138	0.6529263236
139	0.6526839459
140	0.6525158319
141	0.6522833884
142	0.652128986
143	0.651921274
144	0.6513094992
145	0.6511196888
146	0.6508583783
147	0.6506690721
148	0.6504134546
149	0.6502421674
150	0.6499721983
151	0.6496597285
152	0.6493225918
153	0.6490016778
154	0.6485883484
155	0.6483203792
156	0.6480943187
157	0.6478761624
158	0.6476942322
159	0.6472686308
160	0.6470255182
161	0.6466975834
162	0.6463969271
163	0.6462030608
164	0.6459927012
165	0.6457543459
166	0.6455061012
167	0.6453347112
168	0.6451154167
169	0.6448095543
170	0.644619282
171	0.64435618
172	0.644217599
173	0.6439260527
174	0.643779103
175	0.6436188395
176	0.6434155333
177	0.6432705716
178	0.6429925489
179	0.6427560013
180	0.6424797805
181	0.6422631963
182	0.6420641684
183	0.6418257065
184	0.6416952896
185	0.6415550468
186	0.6414334122
187	0.6412312111
188	0.6411393156
189	0.6409409423
190	0.6407122517
191	0.6404488683
192	0.6401727957
193	0.6399191598
194	0.6395853235
195	0.6394807291
196	0.6392872198
197	0.6391151702
198	0.6388461419
199	0.6387380339
200	0.6386175859
201	0.6384305281
202	0.6382992107
203	0.6381415172
204	0.6378815807
205	0.6377570863
206	0.6376093236
207	0.6374198674
208	0.6372101933
209	0.636858088
210	0.6367268822
211	0.6365944789
212	0.6362572627
213	0.6359420378
214	0.635778485
215	0.6355967053
216	0.6354057081
217	0.6351603554
218	0.6349171715
219	0.6346968394
220	0.6344175665
221	0.6342868694
