iter	Passed	Remaining
0	6	6841
1	14	7414
2	22	7591
3	31	7849
4	37	7462
5	45	7495
6	53	7529
7	59	7405
8	66	7323
9	73	7245
10	79	7133
11	85	7059
12	92	7019
13	98	6944
14	104	6854
15	110	6811
16	116	6753
17	122	6674
18	128	6626
19	134	6603
20	140	6551
21	146	6504
22	151	6440
23	157	6387
24	162	6346
25	167	6291
26	172	6231
27	178	6181
28	183	6132
29	188	6083
30	195	6117
31	201	6103
32	208	6104
33	214	6082
34	219	6062
35	227	6087
36	232	6060
37	238	6043
38	243	6009
39	249	5977
40	254	5950
41	259	5921
42	264	5890
43	269	5852
44	274	5824
45	279	5797
46	284	5772
47	289	5750
48	296	5763
49	304	5791
50	310	5768
51	315	5747
52	320	5731
53	326	5716
54	332	5710
55	339	5724
56	345	5719
57	351	5701
58	356	5680
59	361	5660
60	366	5637
61	371	5624
62	376	5602
63	382	5587
64	387	5571
65	393	5561
66	397	5540
67	403	5526
68	408	5515
69	413	5495
70	418	5479
71	423	5463
72	428	5446
73	434	5431
74	440	5429
75	445	5420
76	451	5413
77	457	5408
78	463	5398
79	468	5386
80	474	5378
81	479	5367
82	485	5359
83	490	5344
84	495	5332
85	501	5328
86	507	5325
87	513	5317
88	519	5322
89	525	5312
90	530	5301
91	536	5295
92	541	5282
93	546	5271
94	552	5267
95	558	5254
96	563	5242
97	568	5232
98	573	5222
99	579	5214
100	585	5208
101	590	5196
102	596	5192
103	602	5190
104	607	5179
105	612	5166
106	618	5158
107	622	5145
108	628	5134
109	633	5129
110	639	5121
111	644	5107
112	649	5097
113	653	5082
114	660	5085
115	665	5074
116	672	5073
117	677	5064
118	683	5057
119	687	5044
120	692	5030
121	698	5024
122	703	5016
123	708	5006
124	714	4998
125	720	4995
126	725	4988
127	731	4985
128	736	4975
129	741	4965
130	747	4958
131	752	4950
132	757	4938
133	763	4934
134	768	4922
135	773	4913
136	778	4906
137	783	4895
138	788	4887
139	794	4880
140	799	4872
141	804	4862
142	809	4853
143	828	4923
144	838	4941
145	845	4944
146	851	4941
147	857	4934
148	862	4925
149	867	4913
150	872	4903
151	878	4899
152	883	4890
153	888	4882
154	894	4877
155	900	4869
156	904	4859
157	910	4849
158	915	4842
159	920	4832
160	925	4824
161	931	4820
162	937	4811
163	942	4802
164	948	4798
165	953	4791
166	959	4784
167	966	4788
168	972	4783
169	980	4785
170	987	4788
171	994	4788
172	1001	4785
173	1006	4780
174	1013	4778
175	1018	4767
176	1023	4758
177	1028	4750
178	1034	4743
179	1040	4740
180	1046	4735
181	1051	4727
182	1057	4720
183	1062	4712
184	1067	4703
185	1072	4693
186	1077	4686
187	1082	4677
188	1087	4666
189	1093	4663
190	1099	4656
191	1105	4650
192	1111	4647
193	1116	4638
194	1121	4629
195	1126	4622
196	1132	4615
197	1137	4605
198	1142	4600
199	1147	4591
200	1152	4582
201	1158	4576
202	1163	4568
203	1168	4559
204	1174	4554
205	1179	4546
206	1184	4538
207	1191	4536
208	1196	4528
209	1201	4521
210	1208	4519
211	1214	4513
212	1220	4510
213	1229	4515
214	1234	4507
215	1240	4501
216	1245	4492
217	1250	4485
218	1256	4480
219	1261	4473
220	1267	4466
221	1272	4460
222	1278	4453
223	1283	4446
224	1288	4439
225	1293	4431
226	1298	4423
227	1304	4416
228	1309	4409
229	1314	4402
230	1320	4395
231	1325	4388
232	1330	4380
233	1335	4372
234	1341	4365
235	1346	4359
236	1352	4352
237	1357	4345
238	1363	4341
239	1369	4335
240	1374	4330
241	1380	4323
242	1385	4316
243	1390	4308
244	1395	4300
245	1401	4294
246	1406	4288
247	1411	4280
248	1416	4272
249	1422	4268
250	1427	4260
251	1432	4252
252	1438	4247
253	1443	4239
254	1448	4233
255	1455	4229
256	1461	4224
257	1467	4219
258	1472	4213
259	1477	4205
260	1483	4199
261	1488	4193
262	1494	4188
263	1501	4184
264	1506	4179
265	1511	4171
266	1517	4165
267	1522	4158
268	1527	4152
269	1533	4145
270	1538	4138
271	1543	4131
272	1548	4124
273	1553	4117
274	1559	4111
275	1565	4107
276	1571	4101
277	1576	4095
278	1582	4089
279	1588	4083
280	1593	4077
281	1598	4071
282	1603	4063
283	1609	4057
284	1614	4050
285	1621	4047
286	1626	4041
287	1632	4036
288	1638	4030
289	1643	4023
290	1649	4017
291	1654	4010
292	1659	4003
293	1664	3997
294	1669	3990
295	1674	3983
296	1681	3979
297	1686	3972
298	1691	3964
299	1696	3959
300	1701	3952
301	1706	3945
302	1712	3939
303	1718	3934
304	1723	3926
305	1729	3921
306	1734	3915
307	1740	3911
308	1748	3909
309	1753	3902
310	1758	3896
311	1764	3891
312	1769	3884
313	1776	3880
314	1782	3876
315	1787	3870
316	1793	3863
317	1798	3858
318	1803	3850
319	1808	3844
320	1815	3841
321	1821	3834
322	1826	3827
323	1832	3822
324	1837	3816
325	1842	3808
326	1848	3803
327	1853	3797
328	1858	3789
329	1864	3785
330	1870	3780
331	1875	3773
332	1881	3768
333	1886	3761
334	1891	3754
335	1897	3750
336	1909	3757
337	1916	3753
338	1922	3749
339	1927	3742
340	1932	3734
341	1938	3730
342	1944	3724
343	1949	3718
344	1956	3715
345	1961	3708
346	1966	3701
347	1972	3696
348	1978	3690
349	1984	3684
350	1991	3682
351	1997	3676
352	2003	3672
353	2009	3667
354	2015	3661
355	2021	3656
356	2026	3649
357	2031	3643
358	2037	3638
359	2043	3632
360	2048	3626
361	2054	3620
362	2059	3613
363	2064	3606
364	2069	3601
365	2075	3594
366	2079	3587
367	2085	3581
368	2090	3575
369	2095	3568
370	2100	3561
371	2106	3556
372	2111	3549
373	2116	3542
374	2123	3538
375	2128	3532
376	2134	3526
377	2139	3520
378	2144	3513
379	2150	3508
380	2155	3502
381	2160	3495
382	2165	3488
383	2171	3483
384	2176	3476
385	2182	3471
386	2189	3468
387	2195	3462
388	2201	3458
389	2206	3451
390	2211	3445
391	2217	3439
392	2222	3432
393	2227	3426
394	2234	3421
395	2239	3415
396	2245	3410
397	2252	3406
398	2257	3400
399	2263	3395
400	2268	3389
401	2274	3383
402	2279	3377
403	2286	3372
404	2291	3365
405	2295	3359
406	2302	3354
407	2307	3347
408	2312	3341
409	2317	3335
410	2323	3330
411	2329	3324
412	2334	3318
413	2339	3311
414	2344	3305
415	2350	3300
416	2356	3294
417	2361	3287
418	2367	3282
419	2372	3276
420	2377	3269
421	2383	3264
422	2389	3258
423	2393	3252
424	2399	3246
