Id,TARGET
19477,low
29937,low
109148,low
65728,low
33623,low
57810,medium
50217,low
104393,low
91380,low
21764,medium
3727,low
120088,low
88049,low
58047,low
110099,low
73272,low
51873,low
118581,medium
13237,medium
117910,low
85236,low
68617,low
56179,low
16959,low
21360,low
2970,medium
87678,low
20841,low
20740,low
46878,low
56125,low
106664,low
24490,medium
80257,low
94066,low
7243,low
95433,low
13015,high
72648,medium
14281,low
63686,low
110515,medium
62939,low
71256,low
21598,low
112101,low
101255,low
67554,low
49678,low
65721,low
20308,medium
108540,medium
66236,low
9136,low
106126,low
13505,low
94812,low
29397,low
89901,low
101605,low
7683,medium
96692,low
84042,low
31283,low
93028,low
113169,low
97069,low
15948,low
61889,low
59636,low
64062,medium
89208,high
76800,low
28751,low
28832,medium
115543,medium
101282,low
118261,low
32868,low
119523,medium
35982,low
34347,low
121212,low
58268,high
8393,low
74449,low
80849,low
28449,low
77530,low
48513,medium
39966,high
84117,low
82940,low
94169,medium
67061,low
35742,medium
12966,medium
17203,low
12634,medium
111904,low
23506,low
71773,low
56085,low
123441,low
71334,low
54278,low
121495,low
21780,low
34399,medium
53692,low
101199,low
46516,low
45913,low
11666,low
17797,low
71751,low
97079,low
28062,low
85180,low
7836,low
37812,medium
9206,medium
8333,medium
76461,high
91430,low
52318,medium
9333,low
109262,low
78740,low
5366,low
121230,low
106259,low
100841,low
20413,medium
70076,medium
53696,low
48600,medium
114729,low
101215,low
73050,low
41408,low
85031,low
42630,high
114798,high
3964,low
104750,low
16172,low
102394,high
111433,low
50616,low
86667,low
14807,low
79456,low
7507,medium
118740,low
11433,medium
49894,medium
49897,high
12803,low
93797,low
44747,low
1896,low
46562,low
83133,low
94614,medium
43151,low
13497,medium
63283,low
47226,low
91458,low
87634,low
47987,low
47006,low
73635,low
18109,low
33842,low
76985,low
121153,low
47354,low
114967,medium
6013,low
117373,medium
1250,low
50104,low
114431,low
107471,low
1056,low
7935,low
26604,low
108169,low
85687,low
30355,high
52289,low
87639,medium
106271,low
2603,low
32547,low
13293,low
90636,low
5655,low
45110,low
4459,low
16036,low
94753,low
100659,low
54184,low
111934,medium
63661,low
12050,medium
15113,low
77850,low
70200,low
7171,low
74314,low
2452,low
85379,low
66906,medium
34934,low
3635,low
46873,low
108004,low
27964,low
47375,low
108287,low
61673,low
71712,low
116144,low
20609,low
13073,low
33565,low
32408,low
112027,low
20924,low
102230,low
44708,low
74491,low
36858,low
33974,medium
7790,low
108866,low
22050,low
79731,low
4962,low
36809,medium
116115,low
52710,medium
37969,low
118600,low
41254,low
35276,low
52100,low
71235,medium
53101,low
59507,low
60371,low
93262,low
52065,low
74154,low
111838,low
90214,low
101630,low
56649,low
97868,low
56416,low
40003,low
23478,low
89835,medium
115139,low
81248,medium
1782,low
88329,low
117235,low
117558,medium
38157,low
61437,low
17754,low
73649,low
95125,low
109138,low
100055,low
18526,low
114533,medium
8806,low
92104,low
121238,low
72838,medium
34009,low
100641,medium
62058,low
81586,low
67894,low
122374,medium
13751,low
36197,low
35771,medium
121746,medium
1527,medium
122619,low
97343,low
13734,medium
119705,low
25975,low
28067,low
70803,medium
38524,low
80028,medium
113800,low
62191,low
67283,low
8905,low
34797,low
11242,low
35048,low
12371,low
39304,low
36009,low
2928,low
61339,low
58740,high
94788,low
44710,low
34024,medium
4474,medium
104283,low
37129,low
94987,low
4343,low
121358,medium
11817,low
52701,high
78485,low
936,low
29616,low
91169,low
105078,low
69708,low
109914,low
32601,low
194,low
4752,low
11884,low
73778,low
92175,low
98286,medium
119557,low
49275,low
29409,low
121078,low
6249,high
23229,low
70536,low
29713,low
37588,low
93239,low
79372,high
16293,low
98796,low
73018,low
24494,low
72374,low
88460,low
117478,low
567,low
43909,medium
106315,low
7887,medium
121773,low
5937,low
102656,low
53970,low
52012,high
4676,low
23377,low
99274,low
28468,low
119857,medium
828,low
114193,low
